TheKey	FName	LName	City	StateProvinceName	Country	BDate	MS	GN	YearlyIncome	UName	TotalChildren	NumberChildrenAtHome	HouseOwnerFlag	NumberCarsOwned
11017	Shannon	Wang	Sunbury	Victoria	Australia	1949-12-24	S	F	20000	shannon1 	4	0	1	2
11018	Clarence	Rai	Bendigo	Victoria	Australia	1955-10-06	S	M	30000	clarence32 	2	0	1	2
11019	Luke	Lal	Langley	British Columbia	Canada	1983-09-04	S	M	40000	luke18 	0	0	0	2
11020	Jordan	King	Metchosin	British Columbia	Canada	1984-03-19	S	M	40000	jordan73 	0	0	0	2
11021	Destiny	Wilson	Beaverton	Oregon	United States	1984-03-02	S	F	40000	destiny7 	0	0	0	1
11022	Ethan	Zhang	Bellingham	Washington	United States	1984-04-10	M	M	40000	ethan20 	0	0	1	1
11023	Seth	Edwards	Bellflower	California	United States	1984-04-09	M	M	40000	seth46 	0	0	1	1
11024	Russell	Xie	Concord	California	United States	1984-03-16	M	M	60000	russell7 	0	0	1	2
11025	Alejandro	Beck	Hawthorne	Queensland	Australia	1951-06-22	M	M	10000	alejandro45 	2	1	1	2
11026	Harold	Sai	Goulburn	New South Wales	Australia	1951-10-01	S	M	30000	harold3 	2	0	0	2
11027	Jessie	Zhao	Warrnambool	Victoria	Australia	1952-06-05	M	M	30000	jessie16 	2	0	1	2
11028	Jill	Jimenez	St. Leonards	New South Wales	Australia	1951-10-09	M	F	30000	jill13 	2	0	1	2
11029	Jimmy	Moreno	Bendigo	Victoria	Australia	1952-06-19	M	M	30000	jimmy9 	2	0	1	2
11030	Bethany	Yuan	Cloverdale	South Australia	Australia	1958-02-18	M	F	10000	bethany10 	2	1	1	2
11031	Theresa	Ramos	Matraville	New South Wales	Australia	1953-02-18	M	F	20000	theresa13 	4	0	1	2
11032	Denise	Stone	Melbourne	Victoria	Australia	1952-12-08	M	F	20000	denise10 	4	0	1	2
11033	Jaime	Nath	Milsons Point	New South Wales	Australia	1958-09-19	M	M	20000	jaime41 	4	0	1	2
11034	Ebony	Gonzalez	North Sydney	New South Wales	Australia	1952-12-16	M	F	20000	ebony19 	4	0	1	2
11035	Wendy	Dominguez	Cranbourne	Victoria	Australia	1953-08-23	M	F	10000	wendy12 	2	1	1	2
11036	Jennifer	Russell	National City	California	United States	1984-06-16	M	F	60000	jennifer93 	0	0	1	2
11037	Chloe	Garcia	Cliffside	British Columbia	Canada	1983-05-27	S	F	40000	chloe27 	0	0	0	2
11038	Diana	Hernandez	Lavender Bay	New South Wales	Australia	1953-09-20	M	F	10000	diana2 	2	1	1	2
11039	Marc	Martin	Wollongong	New South Wales	Australia	1954-06-16	M	M	30000	03-Mar	3	0	1	2
11040	Jesse	Murphy	Tacoma	Washington	United States	1983-01-29	M	M	30000	jesse15 	0	0	1	2
11041	Amanda	Carter	Glendale	California	United States	1983-04-15	M	F	60000	amanda53 	0	0	1	2
11042	Megan	Sanchez	Los Angeles	California	United States	1982-12-11	M	F	70000	megan28 	0	0	1	2
11043	Nathan	Simmons	Glendale	California	United States	1981-08-23	M	M	60000	nathan11 	0	0	1	2
11044	Adam	Flores	Hervey Bay	Queensland	Australia	1954-11-21	M	M	20000	adam10 	2	1	1	2
11045	Leonard	Nara	Matraville	New South Wales	Australia	1955-11-16	S	M	30000	leonard18 	3	0	0	2
11046	Christine	Yuan	Lavender Bay	New South Wales	Australia	1955-09-19	M	F	30000	christine4 	3	0	1	2
11047	Jaclyn	Lu	Geelong	Victoria	Australia	1955-08-27	M	F	30000	jaclyn12 	3	0	0	2
11048	Jeremy	Powell	Sunbury	Victoria	Australia	1956-05-21	M	M	30000	jeremy26 	3	0	1	2
11049	Carol	Rai	Chula Vista	California	United States	1986-01-15	S	F	40000	carol8 	0	0	1	2
11050	Alan	Zheng	Hobart	Tasmania	Australia	1957-03-06	M	M	30000	alan23 	3	0	1	2
11051	Daniel	Johnson	Caloundra	Queensland	Australia	1957-01-31	S	M	30000	daniel18 	3	0	0	2
11052	Heidi	Lopez	Matraville	New South Wales	Australia	1957-02-03	S	F	40000	heidi19 	2	0	0	2
11053	Ana	Price	San Diego	California	United States	1986-02-17	M	F	60000	ana0 	0	0	0	2
11054	Deanna	Munoz	Geelong	Victoria	Australia	1957-09-07	M	F	40000	deanna33 	2	0	1	2
11055	Gilbert	Raje	East Brisbane	Queensland	Australia	1957-09-02	M	M	40000	gilbert35 	2	0	1	2
11056	Michele	Nath	Newcastle	New South Wales	Australia	1958-10-01	M	F	40000	michele19 	3	0	1	2
11057	Carl	Andersen	Lane Cove	New South Wales	Australia	1970-04-07	M	M	70000	carl12 	2	0	1	2
11058	Marc	Diaz	Findon	South Australia	Australia	1965-04-23	M	M	80000	06-Mar	2	0	1	2
11059	Ashlee	Andersen	Townsville	Queensland	Australia	1959-09-29	S	F	80000	ashlee19 	2	0	1	2
11060	Jon	Zhou	Warrnambool	Victoria	Australia	1959-09-14	M	M	80000	jon28 	2	0	1	2
11061	Todd	Gao	Gold Coast	Queensland	Australia	1976-02-20	M	M	80000	todd14 	2	0	1	2
11062	Noah	Powell	Portland	Oregon	United States	1981-03-01	M	M	40000	noah5 	0	0	1	2
11063	Angela	Murphy	Redmond	Washington	United States	1980-10-04	S	F	40000	angela41 	0	0	1	2
11064	Chase	Reed	Downey	California	United States	1981-06-05	M	M	40000	chase21 	0	0	1	2
11065	Jessica	Henderson	La Jolla	California	United States	1979-04-08	M	F	60000	jessica29 	0	0	0	2
11066	Grace	Butler	Lebanon	Oregon	United States	1979-05-27	M	F	70000	grace62 	0	0	1	2
11067	Caleb	Carter	Port Orchard	Washington	United States	1982-03-25	S	M	60000	caleb40 	0	0	1	2
11068	Tiffany	Liang	Warrnambool	Victoria	Australia	1966-09-19	S	F	80000	tiffany17 	2	0	1	2
11069	Carolyn	Navarro	Gold Coast	Queensland	Australia	1966-09-17	S	F	80000	carolyn30 	2	0	0	2
11070	Willie	Raji	Sunbury	Victoria	Australia	1960-10-02	M	M	80000	willie40 	2	0	1	2
11071	Linda	Serrano	Hawthorne	Queensland	Australia	1960-12-23	S	F	80000	linda31 	2	0	1	2
11072	Casey	Luo	St. Leonards	New South Wales	Australia	1960-08-05	S	F	80000	casey6 	2	0	0	2
11073	Amy	Ye	Springwood	New South Wales	Australia	1962-02-11	S	F	70000	amy16 	2	0	1	2
11074	Levi	Arun	Cloverdale	South Australia	Australia	1962-02-25	S	M	70000	levi6 	2	0	1	2
11075	Felicia	Jimenez	Bendigo	Victoria	Australia	1963-05-16	S	F	80000	felicia4 	2	0	1	2
11076	Blake	Anderson	Wollongong	New South Wales	Australia	1963-01-10	S	M	80000	blake9 	2	0	1	2
11077	Leah	Ye	Melton	Victoria	Australia	1963-03-19	S	F	80000	leah7 	2	0	0	2
11078	Gina	Martin	Cliffside	British Columbia	Canada	1985-01-06	S	F	40000	gina1 	0	0	0	2
11079	Donald	Gonzalez	Geelong	Victoria	Australia	1970-03-07	S	M	160000	donald20 	0	0	1	2
11080	Damien	Chander	Perth	South Australia	Australia	1965-01-13	M	M	170000	damien32 	0	0	1	2
11081	Savannah	Baker	Concord	California	United States	1972-01-21	M	F	120000	savannah39 	2	2	1	3
11082	Angela	Butler	Fremont	California	United States	1972-02-01	S	F	130000	angela17 	0	1	0	3
11083	Alyssa	Cox	Lincoln Acres	California	United States	1977-03-11	M	F	130000	alyssa37 	0	1	1	3
11084	Lucas	Phillips	Lebanon	Oregon	United States	1963-03-12	S	M	80000	lucas7 	2	0	0	2
11085	Emily	Johnson	Newport Beach	California	United States	1963-01-16	S	F	60000	emily1 	2	0	0	2
11086	Ryan	Brown	Santa Monica	California	United States	1963-06-22	M	M	70000	ryan43 	2	1	1	0
11087	Tamara	Liang	Chula Vista	California	United States	1963-04-02	M	F	70000	tamara6 	3	2	0	0
11088	Hunter	Davis	San Diego	California	United States	1963-05-25	M	M	80000	hunter64 	2	1	1	0
11089	Abigail	Price	Long Beach	California	United States	1962-08-05	S	F	80000	abigail25 	2	1	1	1
11090	Trevor	Bryant	Los Angeles	California	United States	1968-12-13	S	M	90000	trevor18 	2	0	1	1
11091	Dalton	Perez	Haney	British Columbia	Canada	1962-10-02	M	M	90000	dalton37 	2	0	1	1
11092	Cheryl	Diaz	East Brisbane	Queensland	Australia	1972-11-02	M	F	90000	cheryl4 	2	2	1	0
11093	Aimee	He	Wollongong	New South Wales	Australia	1978-09-06	M	F	100000	aimee13 	0	0	1	0
11094	Cedric	Ma	Cranbourne	Victoria	Australia	1967-09-29	S	M	70000	cedric15 	1	0	0	1
11095	Chad	Kumar	Port Macquarie	New South Wales	Australia	1968-02-29	S	M	70000	chad9 	1	0	1	1
11096	Andrés	Anand	North Sydney	New South Wales	Australia	1968-02-07	M	M	60000	andrés18 	1	0	1	1
11097	Edwin	Nara	Warrnambool	Victoria	Australia	1972-10-23	M	M	60000	edwin39 	1	0	1	1
11098	Mallory	Rubio	Rhodes	New South Wales	Australia	1966-10-29	S	F	60000	mallory7 	1	0	0	1
11099	Adam	Ross	Port Macquarie	New South Wales	Australia	1966-09-05	M	M	60000	adam2 	1	0	1	1
11100	Latasha	Navarro	Cloverdale	South Australia	Australia	1966-03-15	S	F	60000	latasha10 	1	0	1	1
11101	Abby	Sai	Cranbourne	Victoria	Australia	1970-11-05	S	F	70000	abby4 	0	0	0	1
11102	Julia	Nelson	Sydney	New South Wales	Australia	1970-10-19	S	F	80000	julia7 	5	5	1	4
11103	Cassie	Chande	Darlinghurst	New South Wales	Australia	1981-04-12	S	F	70000	cassie13 	0	0	1	1
11104	Edgar	Sara	Gold Coast	Queensland	Australia	1975-03-08	M	M	70000	edgar11 	0	0	0	1
11105	Candace	Fernandez	Matraville	New South Wales	Australia	1970-06-27	S	F	70000	candace15 	0	0	0	1
11106	Jessie	Liu	Warrnambool	Victoria	Australia	1970-03-11	S	M	70000	jessie9 	0	0	0	1
11107	Bianca	Lin	St. Leonards	New South Wales	Australia	1976-03-04	M	F	90000	bianca7 	1	0	1	1
11108	Kari	Alvarez	Port Macquarie	New South Wales	Australia	1969-01-10	S	F	70000	kari25 	0	0	0	2
11109	Ruben	Kapoor	South Melbourne	Victoria	Australia	1980-04-30	S	M	70000	ruben1 	0	0	0	2
11110	Curtis	Yang	Darlinghurst	New South Wales	Australia	1967-12-04	M	M	60000	curtis5 	1	0	1	1
11111	Meredith	Gutierrez	Geelong	Victoria	Australia	1967-08-23	M	F	60000	meredith34 	1	0	1	1
11112	Crystal	Wang	Hervey Bay	Queensland	Australia	1968-03-08	M	F	60000	crystal3 	1	0	1	1
11113	Micheal	Blanco	Perth	South Australia	Australia	1973-02-17	M	M	70000	micheal11 	5	4	1	2
11114	Leslie	Moreno	Rhodes	New South Wales	Australia	1967-11-25	S	F	70000	leslie7 	5	4	1	2
11115	Alvin	Cai	St. Leonards	New South Wales	Australia	1967-08-12	M	M	70000	alvin20 	5	4	1	2
11116	Clinton	Carlson	Sydney	New South Wales	Australia	1979-04-02	M	M	70000	clinton14 	5	4	1	2
11117	April	Deng	Matraville	New South Wales	Australia	1966-08-21	M	F	70000	01-Apr	5	4	1	3
11118	Alvin	Zeng	Lavender Bay	New South Wales	Australia	1962-12-31	S	M	80000	alvin21 	1	0	0	1
11119	Evan	James	Port Macquarie	New South Wales	Australia	1940-10-07	S	M	30000	evan8 	2	0	0	2
11120	Beth	Jiménez	Sydney	New South Wales	Australia	1942-02-06	S	F	40000	beth8 	2	0	1	1
11121	Orlando	Suarez	Newcastle	New South Wales	Australia	1966-05-18	M	M	70000	orlando19 	5	4	1	3
11122	Byron	Vazquez	North Sydney	New South Wales	Australia	1965-09-30	M	M	70000	byron9 	5	4	1	3
11123	Philip	Alvarez	Sunbury	Victoria	Australia	1965-12-18	M	M	70000	philip4 	5	4	1	3
11124	Ross	Jordan	Warrnambool	Victoria	Australia	1968-07-23	S	M	80000	ross1 	1	0	1	1
11125	Dana	Navarro	Seaford	Victoria	Australia	1961-10-06	S	F	70000	dana2 	1	0	1	1
11126	Shaun	Carson	North Ryde	New South Wales	Australia	1954-10-05	M	M	10000	shaun16 	2	1	0	2
11127	Jan	Edwards	San Gabriel	California	United States	1981-04-19	M	F	40000	11-Jan	0	0	1	1
11128	Samantha	Long	Renton	Washington	United States	1981-06-03	M	F	40000	samantha35 	0	0	1	1
11129	Julia	Wright	Sedro Woolley	Washington	United States	1981-02-01	S	F	40000	julia17 	0	0	1	1
11130	Caroline	Russell	Lebanon	Oregon	United States	1985-07-05	M	F	30000	caroline21 	0	0	1	2
11131	Amanda	Rivera	Haney	British Columbia	Canada	1985-09-09	M	F	30000	amanda7 	0	0	0	2
11132	Melissa	Richardson	Langford	British Columbia	Canada	1986-04-25	S	F	30000	melissa31 	0	0	0	2
11133	Angela	Griffin	Lake Oswego	Oregon	United States	1986-03-08	S	F	30000	angela23 	0	0	0	2
11134	Larry	Townsend	Perth	South Australia	Australia	1957-02-22	S	M	10000	larry14 	5	0	1	2
11135	Marcus	Harris	Burlingame	California	United States	1985-05-02	S	M	30000	marcus14 	0	0	0	2
11136	Brianna	Morgan	Metchosin	British Columbia	Canada	1984-04-24	S	F	40000	brianna30 	0	0	0	2
11137	Jasmine	Taylor	Spokane	Washington	United States	1984-01-17	M	F	40000	jasmine7 	0	0	1	2
11138	Lauren	Davis	Glendale	California	United States	1984-03-14	M	F	40000	lauren23 	0	0	0	2
11139	Tanya	Moreno	Cloverdale	South Australia	Australia	1949-11-05	S	F	30000	tanya2 	2	0	0	2
11140	Javier	Alvarez	Burbank	California	United States	1982-08-11	S	M	30000	javier1 	0	0	0	2
11141	Nicole	Ramirez	Daly City	California	United States	1982-12-19	M	F	40000	nicole42 	0	0	0	2
11142	Eduardo	Patterson	Langford	British Columbia	Canada	1983-02-11	S	M	40000	eduardo55 	0	0	0	2
11143	Jonathan	Henderson	Lakewood	California	United States	1982-08-04	M	M	40000	jonathan4 	0	0	1	2
11144	Edward	Hernandez	Ballard	Washington	United States	1985-03-08	S	M	40000	edward48 	0	0	0	2
11145	Jasmine	Coleman	Beaverton	Oregon	United States	1985-06-06	S	F	40000	jasmine46 	0	0	0	2
11146	Karla	Goel	Matraville	New South Wales	Australia	1945-02-22	S	F	40000	karla20 	2	0	1	2
11147	Ernest	Wu	Warrnambool	Victoria	Australia	1944-08-04	M	M	60000	ernest6 	2	0	1	1
11148	Ross	Vazquez	East Brisbane	Queensland	Australia	1947-02-13	M	M	40000	ross32 	2	0	1	2
11149	Theodore	Gill	Hervey Bay	Queensland	Australia	1946-10-18	M	M	40000	theodore14 	2	0	1	2
11150	Russell	Shen	Sunbury	Victoria	Australia	1946-09-12	S	M	40000	russell6 	2	0	1	2
11151	Melinda	Gill	Sydney	New South Wales	Australia	1947-08-25	S	F	60000	melinda9 	2	0	0	1
11152	James	Williams	Puyallup	Washington	United States	1981-07-09	S	M	40000	james77 	0	0	1	2
11153	Angela	James	Renton	Washington	United States	1981-12-21	M	F	40000	angela34 	0	0	1	2
11154	Megan	Walker	Woodburn	Oregon	United States	1982-02-18	S	F	40000	megan25 	0	0	1	1
11155	Hunter	Robinson	Burbank	California	United States	1981-07-25	S	M	40000	hunter50 	0	0	0	1
11156	Maria	Roberts	Lakewood	California	United States	1981-08-06	S	F	40000	maria47 	0	0	0	1
11157	Hannah	Long	Tacoma	Washington	United States	1980-12-08	M	F	40000	hannah32 	0	0	1	2
11158	Jason	Wright	San Gabriel	California	United States	1981-04-06	S	M	40000	jason46 	0	0	1	2
11159	Brianna	Hughes	Woodland Hills	California	United States	1981-03-16	S	F	40000	brianna57 	0	0	0	2
11160	Maurice	Tang	Concord	California	United States	1979-07-08	S	M	40000	maurice4 	0	0	0	1
11161	Emily	Wood	Concord	California	United States	1979-10-20	S	F	40000	emily27 	0	0	0	1
11162	Chase	Cox	La Jolla	California	United States	1979-09-02	S	M	40000	chase10 	0	0	1	1
11163	Gabriel	Wang	Spring Valley	California	United States	1980-06-18	M	M	40000	gabriel21 	0	0	1	1
11164	Devin	Brooks	Torrance	California	United States	1979-11-02	S	M	40000	devin63 	0	0	0	1
11165	Jocelyn	Alexander	Oakland	California	United States	1979-01-15	M	F	60000	jocelyn18 	0	0	0	1
11166	Ashley	Martinez	Olympia	Washington	United States	1977-10-22	S	F	70000	ashley18 	0	0	0	2
11167	Jasmine	Barnes	Issaquah	Washington	United States	1978-01-29	S	F	80000	jasmine43 	0	0	0	1
11168	David	Rodriguez	Oakland	California	United States	1973-11-12	S	M	80000	david83 	0	0	0	1
11169	Bryce	Richardson	Coronado	California	United States	1973-12-20	M	M	90000	bryce8 	4	4	1	1
11170	Carol	Howard	Burien	Washington	United States	1973-08-04	M	F	90000	carol5 	4	4	1	1
11171	Jonathan	Hill	Woodland Hills	California	United States	1978-10-05	S	M	100000	jonathan43 	1	0	1	2
11172	Gabrielle	Adams	Lynnwood	Washington	United States	1973-05-20	M	F	100000	gabrielle58 	1	0	1	2
11173	Sarah	Thomas	W. Linn	Oregon	United States	1973-02-28	S	F	110000	sarah13 	0	0	0	4
11174	Nicholas	Robinson	Los Angeles	California	United States	1973-01-09	M	M	110000	nicholas19 	0	1	1	0
11175	Luis	Wang	Beverly Hills	California	United States	1968-09-01	S	M	70000	luis24 	0	0	1	2
11176	Mason	Roberts	Haney	British Columbia	Canada	1979-01-21	M	M	90000	mason25 	4	4	1	1
11177	Jose	Flores	San Diego	California	United States	1948-01-01	M	M	110000	jose6 	2	4	1	2
11178	Nathan	Johnson	Lakewood	California	United States	1954-08-20	M	M	100000	nathan55 	2	3	1	3
11179	Molly	Rodriguez	Beverly Hills	California	United States	1959-12-08	M	F	120000	molly18 	2	4	1	3
11180	April	Anand	Chula Vista	California	United States	1948-07-01	M	F	160000	18-Apr	1	3	1	4
11181	Devin	Martin	Los Angeles	California	United States	1960-02-01	M	M	170000	devin13 	2	3	1	2
11182	Stephanie	Torres	Sedro Woolley	Washington	United States	1950-02-22	S	F	70000	stephanie19 	4	0	1	2
11183	Jasmine	Lee	Santa Cruz	California	United States	1950-01-12	S	F	70000	jasmine19 	4	0	1	2
11184	Meghan	Hernandez	Concord	California	United States	1955-11-13	S	F	70000	meghan3 	4	0	1	2
11185	Ashley	Henderson	Metchosin	British Columbia	Canada	1950-04-07	S	F	70000	ashley31 	4	0	1	2
11186	Sarah	Price	Palo Alto	California	United States	1949-11-18	S	F	70000	sarah25 	4	0	1	2
11187	Jennifer	Cooper	Burien	Washington	United States	1949-08-21	M	F	60000	jennifer63 	4	0	1	2
11188	Catherine	Morris	San Gabriel	California	United States	1950-03-06	M	F	60000	catherine16 	4	0	0	2
11189	Lawrence	Blanco	Bellingham	Washington	United States	1950-01-12	S	M	60000	lawrence14 	4	0	1	2
11190	Carson	Bryant	Beverly Hills	California	United States	1949-12-20	M	M	70000	carson17 	5	0	1	2
11191	Kristi	Perez	Colma	California	United States	1951-06-17	S	F	70000	kristi39 	5	0	1	3
11192	James	Brown	Seattle	Washington	United States	1951-03-13	M	M	60000	james79 	4	0	1	2
11193	Ian	Gray	Woodburn	Oregon	United States	1950-08-13	M	M	60000	ian72 	4	0	1	2
11194	Jacqueline	Price	Palo Alto	California	United States	1950-12-08	M	F	60000	jacqueline0 	4	0	1	2
11195	Megan	Henderson	Renton	Washington	United States	1951-08-10	M	F	60000	megan55 	5	0	1	3
11196	Alfredo	Romero	Beaverton	Oregon	United States	1951-12-05	M	M	60000	alfredo10 	5	0	1	3
11197	Andrea	Morris	Seattle	Washington	United States	1951-12-16	M	F	70000	andrea18 	3	1	0	1
11198	Brooke	Sanders	Santa Cruz	California	United States	1952-05-25	S	F	70000	brooke3 	4	1	1	1
11199	Jacqueline	Bennett	Burlingame	California	United States	1957-11-02	M	F	70000	jacqueline1 	4	1	1	1
11200	Jason	Griffin	Victoria	British Columbia	Canada	1953-05-21	M	M	70000	jason18 	4	1	1	1
11201	Amanda	Foster	Santa Monica	California	United States	1953-02-14	M	F	70000	amanda37 	4	1	1	1
11202	Alexia	Price	Lakewood	California	United States	1958-08-22	M	F	80000	alexia0 	5	0	0	2
11203	Luis	Diaz	Port Hammond	British Columbia	Canada	1959-08-18	M	M	40000	luis21 	2	1	1	2
11204	Destiny	Rivera	Beaverton	Oregon	United States	1953-11-29	M	F	40000	destiny33 	2	1	1	2
11205	Abby	Fernandez	Burien	Washington	United States	1954-01-21	M	F	40000	abby13 	2	1	1	2
11206	Blake	Flores	Lynnwood	Washington	United States	1954-03-24	M	M	60000	blake60 	2	1	1	1
11207	Danielle	Cox	Renton	Washington	United States	1954-01-16	S	F	60000	danielle12 	2	1	1	1
11208	Maria	Reed	Glendale	California	United States	1953-08-03	M	F	60000	maria4 	2	1	1	0
11209	Allison	Evans	Lincoln Acres	California	United States	1953-07-12	M	F	60000	allison21 	2	1	1	0
11210	Edward	Wood	West Covina	California	United States	1953-12-06	M	M	70000	edward50 	4	1	1	2
11211	Samantha	Russell	Haney	British Columbia	Canada	1960-10-08	M	F	40000	samantha42 	2	1	1	2
11212	Chloe	Campbell	Metchosin	British Columbia	Canada	1955-05-05	M	F	40000	chloe4 	2	1	1	2
11213	Stephanie	Murphy	Edmonds	Washington	United States	1954-11-11	S	F	60000	stephanie11 	2	1	1	2
11214	Charles	Miller	Milwaukie	Oregon	United States	1955-05-07	S	M	60000	charles9 	2	1	1	2
11215	Ana	Perry	Royal Oak	British Columbia	Canada	1961-06-17	M	F	40000	ana7 	2	1	1	2
11216	Jasmine	Torres	Portland	Oregon	United States	1955-11-17	S	F	60000	jasmine32 	2	1	1	2
11217	Natalie	Adams	Portland	Oregon	United States	1955-08-11	S	F	60000	natalie58 	2	1	1	2
11218	Olivia	Brown	Tacoma	Washington	United States	1961-09-07	S	F	60000	olivia4 	2	1	0	2
11219	Charles	Cook	Woodburn	Oregon	United States	1956-05-31	M	M	60000	charles69 	2	1	1	2
11220	Erica	Huang	Colma	California	United States	1961-02-19	M	F	60000	erica5 	2	1	1	1
11221	Nathan	Perry	Lakewood	California	United States	1955-12-08	M	M	70000	nathan3 	4	2	1	1
11222	Alexandra	Rivera	Santa Monica	California	United States	1956-02-14	M	F	80000	alexandra11 	3	1	1	1
11223	Hailey	Patterson	Langley	British Columbia	Canada	1957-03-15	S	F	70000	hailey30 	2	1	1	2
11224	Tiffany	Li	Burien	Washington	United States	1957-03-05	S	F	70000	tiffany3 	2	1	1	2
11225	Madison	Lee	Renton	Washington	United States	1962-02-12	M	F	60000	madison22 	2	1	1	1
11226	Sydney	Ross	W. Linn	Oregon	United States	1962-09-23	M	F	60000	sydney26 	2	1	1	1
11227	Marshall	Chavez	Colma	California	United States	1962-08-08	S	M	60000	marshall35 	2	1	1	2
11228	Ashley	Jones	El Cajon	California	United States	1956-10-16	M	F	60000	ashley3 	2	1	1	2
11229	Adrian	Stewart	Redwood City	California	United States	1957-06-01	S	M	70000	adrian21 	4	2	1	1
11230	Amber	Turner	Santa Monica	California	United States	1956-09-30	M	F	70000	amber4 	4	2	0	2
11231	Dennis	Zhang	Bremerton	Washington	United States	1963-11-11	M	M	60000	dennis1 	2	1	1	2
11232	Hailey	Bryant	Everett	Washington	United States	1958-03-27	M	F	60000	hailey38 	3	1	0	2
11233	Todd	Li	Berkeley	California	United States	1963-09-06	M	M	70000	todd5 	4	2	1	2
11234	Anna	Griffin	Long Beach	California	United States	1958-05-19	S	F	70000	anna46 	4	2	1	2
11235	Angel	Stewart	Ballard	Washington	United States	1957-08-07	M	M	70000	angel24 	4	2	1	2
11236	Jeremy	Butler	Bellingham	Washington	United States	1957-09-02	S	M	70000	jeremy29 	5	2	1	2
11237	Clarence	Anand	Solingen	Nordrhein-Westfalen	Germany	1964-03-22	S	M	130000	clarence36 	2	3	0	4
11238	Mayra	Prasad	Birmingham	England	United Kingdom	1964-02-07	S	F	130000	mayra9 	2	3	0	4
11239	Latoya	Goel	London	England	United Kingdom	1969-10-02	M	F	130000	latoya18 	2	4	0	2
11240	Anne	Hernandez	Watford	England	United Kingdom	1964-06-09	M	F	160000	anne4 	2	3	1	4
11241	Lisa	Cai	Les Ulis	Essonne	France	1974-04-06	S	F	100000	lisa24 	2	3	1	4
11242	Larry	Munoz	Versailles	Yveline	France	1963-05-11	M	M	110000	larry9 	2	4	1	3
11243	Robin	Alvarez	Esher-Molesey	England	United Kingdom	1963-04-08	M	F	150000	robin2 	2	3	1	3
11244	Alexis	Coleman	Runcorn	England	United Kingdom	1968-11-22	S	F	170000	alexis28 	2	3	0	3
11245	Ricky	Vazquez	Hamburg	Hessen	Germany	1962-04-26	M	M	120000	ricky15 	3	4	0	4
11246	Latasha	Rubio	Hamburg	Hamburg	Germany	1962-04-08	M	F	120000	latasha21 	3	4	0	4
11247	Claudia	Zhou	Lancaster	England	United Kingdom	1961-12-04	S	F	130000	claudia7 	3	4	0	3
11248	Tristan	Alexander	Saint-Denis	Seine Saint Denis	France	1966-03-22	M	M	110000	tristan19 	3	4	1	4
11249	Cindy	Patel	Sulzbach Taunus	Saarland	Germany	1966-07-09	M	F	130000	cindy3 	3	4	1	3
11250	Shannon	Liu	Woolston	England	United Kingdom	1966-03-08	M	F	170000	shannon4 	3	4	1	2
11251	Xavier	Long	Haney	British Columbia	Canada	1938-01-01	S	M	30000	xavier51 	4	0	0	2
11252	Nicholas	Thompson	Lemon Grove	California	United States	1937-12-05	S	M	90000	nicholas16 	3	0	1	1
11253	José	Hernandez	Victoria	British Columbia	Canada	1949-08-24	M	M	60000	josé54 	2	0	1	2
11254	Johnathan	Vance	Burien	Washington	United States	1938-08-31	M	M	70000	johnathan5 	4	0	1	2
11255	Colin	Lin	Burien	Washington	United States	1938-10-02	M	M	70000	colin8 	4	0	1	2
